Continental Motion Pictures,LeviatÃ¡n
First Floor Features,De lift
Shaw Brothers,Hung kuen dai see
Cinema City,Lung hei bik yan
Bavaria Film,The Little Drummer Girl
Universal Pictures,The Lonely Guy
Playboy Productions,Love Scenes
Cannon Films,Love Streams
DEF Filmproduktion NÃ¼rnberg,Macho Man
The Cannon Group,Making the Grade
Drakfilm Produktion,Mannen frÃ¥n Mallorca
D & B Films Co. Ltd.,Mao tou ying yu xiao fei xiang
Les Films Christian Fechner,Marche Ã  l'ombre
Cannon Group,Maria's Lovers
United Artists,Martin's Day
David Foster Productions,Mass Appeal
April Films,Me'Ahorei Hasoragim
Space Productions,Meatballs Part II
Jadran Film,Memed My Hawk
Embrafilme,MemÃ³rias do CÃ¡rcere
BBE,Micki + Maude
Det Danske Filminstitut,Midt om natten
Skyewiay,Mike's Murder
Golden Films Internacional S.A.,Mil sexos tiene la noche
The Cannon Group,Missing in Action
Skatetown USA Movie Company Inc.,Monaco Forever
Maggan Films,Moord in Extase
Carthago Films S.a.r.l.,Les morfalous
Hickmar Productions,Mortuary
Bavaria Film,Moscow on the Hudson
Edgar J. Scherick Associates,Mrs. Soffel
TriStar Pictures,The Muppets Take Manhattan
Scena Film,Murderock - Uccide a passo di danza
Charles Burnett Productions,My Brother's Wedding
Dofine Productions,My First Wife
Cannon Group,The Naked Face
TriStar Pictures,The Natural
Goldcrest Films International,Nemo
Bedford Films,New York Nights
Omega Entertainment,The Next One
Ego Film Arts,Next of Kin
RSL,Night Patrol
Coleman/Roseblatt Productions,Night of the Comet
New Line Cinema,A Nightmare on Elm Street
Umbrella-Rosenblum Films Production,Nineteen Eighty-Four
Golan-Globus Productions,Ninja III: The Domination
VTC,The Ninja Mission
Delphi II Productions,No Small Affair
Thorn EMI Screen Entertainment,Not for Publication
Broadway Pictures,Nothing Lasts Forever
Adel Productions,Notre histoire
Les Films du Losange,Les nuits de la pleine lune
TriStar Pictures,Odd Jobs
Maurice Smith Productions,Oddballs
Silver Films,Old Enough
The Ladd Company,Once Upon a Time in America
Michael Edgley International,One Night Stand
Baltic Industrial Finance,Oxford Blues
Saturn International Pictures (II),Paradise Motel
7 Films CinÃ©ma,Paroles et musique
Usha Enterprises,Paroma
Moviestore Entertainment,The Party Animal
EMI Films,A Passage to India
Hemdale,Perfect Strangers
Films de L'Alma,Gwendoline
DACFILM Rome,Phenomena
New World Pictures,The Philadelphia Experiment
Ã“palo Films,El pico 2
Arturo Productions,Pinot simple flic
F.L.F.,La pirate
Delphi II Productions,Places in the Heart
The Ladd Company,Police Academy
United Artists,The Pope of Greenwich Village
Mikas 1,Prime Risk
Viking International Pictures,Prison Ship
Hawn / Sylbert Movie Company,Protocol
The Ladd Company,Purple Hearts
Warner Bros.,Purple Rain
Golden Harvest Company,Qing cheng zhi lian
Swanie Productions,Le quart d'heure amÃ©ricain
Jaffe-Lansing,Racing with the Moon
Columbia Pictures,The Razor's Edge
McElroy & McElroy,Razorback
Edgar J. Scherick Associates,Reckless
United Artists,Red Dawn
Edge City,Repo Man
Filmline,The Deadly Spawn
Twentieth Century Fox,Revenge of the Nerds
Twentieth Century Fox,Rhinestone
Films 7,Les ripoux
Cinema Group Ventures,The River Rat
Universal Pictures,The River
"Zespol Filmowy ""Tor""",Rok spokojnego slonca
Twentieth Century Fox,Romancing the Stone
FilmTeknik,Ronja RÃ¶vardotter
Big Lobby Company,The Rosebud Beach Hotel
TriStar Pictures,Runaway
Highroad,Running Hot
Amber Films,On the Line
Rajshri Productions,Saaransh
Filmax,Le sang des autres
Ganesh Producciones CinematogrÃ¡ficas,Los santos inocentes
Art Theatre Guild (ATG),Saraba hakobune
Angeles Cinema Investors,Scandalous
Meteor Film Productions,Schatjes!
Bavaria Atelier,Der Schneemann
Miracle,Scream for Help
Broadbank Investments,Second Time Lucky
Sandcastle 5 Productions,Secret Honor
"ZespÃ³l Filmowy ""Kadr""",Seksmisja
Constan Films S.A.,Serpiente de mar
Embrafilme,As Sete Vampiras
Hara,Setouchi shonen yakyu dan
Film Workshop,Shang Hai zhi yen
National Cinematografica,Shark: Rosso nell'oceano
Channel Four Films,She'll Be Wearing Pink Pyjamas
Colgems Productions Ltd.,Sheena
Bo Ho Film Company Ltd.,Shen yong shuang xiang pao
Bo Ho Film Company Ltd.,Sang gong kei bing
Edenflow,The Shooting Party
Earls,Silent Madness
The Gibson Group,The Silent One
Bluebird Movie Enterprises Ltd.,Si shui liu nian
Universal Pictures,Sixteen Candles
Nordisk Tonefilm,SlagskÃ¤mpen
Jennie and Company,Slayground
Columbia Pictures,A Soldier's Story
Corporation Image M & M,Sonatine
TriStar Pictures,Songwriter
Hemdale,Special Effects
Touchstone Pictures,Splash
New Empire Features,Splitz
Les Films Christian Fechner,Les spÃ©cialistes
Paramount Pictures,Star Trek III: The Search for Spock
Columbia Pictures,Starman
International Productions,The Stone Boy
Cinesthesia Productions,Stranger Than Paradise
Kill Productions,Strangers Kiss
New West Films,Strangers in Paradise
A Hill-Gordon-Silver Production,Streets of Fire
Rodeo,Streetwalkin'
Gaumont,Success Is the Best Revenge
Victor Company of Japan (JVC),Un Ã©tÃ© Ã  Saint-Tropez
Artistry Limited,Supergirl
Surf's Up Productions,Surf II
Surfacing Film Productions,Surfacing
CinÃ©pix,The Surrogate
Warner Bros.,Swing Shift
Directors Company,TaifÃ» kurabu
Lorimar Film Entertainment,Tank
Greek Film Center,Taxidi sta Kythira
United Artists,Teachers
Hemdale,The Terminator
Film Australia,Annie's Coming Out
Hickmar Productions,They're Playing with Fire
Don Simpson/Jerry Bruckheimer Films,Thief of Hearts
Spinal Tap Prod.,This Is Spinal Tap
Golden Harvest Company,Tie ban shao
The Malpaso Company,Tightrope
Miam Productions,A Time to Remember
Andromeda International Films,I timi tis agapis
Producciones Rodas S.A. de C.V.,Toy Soldiers
Impex Films,Les trottoirs de Bangkok
Scena Film,Tutti dentro
Art Film 80,U raljama zivota
Gaumont,Un amour de Swann
Films A2,Un dimanche Ã  la campagne
Conacite Uno,Under the Volcano
Constantin Film,The NeverEnding Story
Twentieth Century Fox,Unfaithfully Yours
United Artists,Until September
Orion Pictures,Up the Creek
Kitty Films,Urusei Yatsura 2: ByÃ»tifuru dorÃ®mÃ¢
AMLF,La vengeance du serpent Ã  plumes
Fieldston Film Productions,Video Vixens!
TF1 Films Production,La vie de famille
John Maynard Productions,Vigil
ProtÃ©crÃ©a,Vive les femmes!
Aries CinematogrÃ¡fica Argentina,The Warrior and the Sorceress
A.D.I. Inc.,Warrior of the Lost World
Marimark Productions,Weekend Pass
Adams Apple Film Company,What Waits Below
Rodeo,Wheels of Fire
Incorporated Television Company (ITC),Where the Boys Are
"Zespol Filmowy ""Perspektywa""",Widziadlo
Universal Pictures,The Wild Life
CBS Theatrical Films,Windy City
Pro-ject Filmproduktion,Wo die grÃ¼nen Ameisen trÃ¤umen
Orion Pictures,The Woman in Red
Peace Film Production Co.,Siu Tai Gik
CineStar Productions,Yellow Hair and the Pecos Kid
Tuotanto Visa MÃ¤kinen,YÃ¶n saalistajat
Per Holst Filmproduktion,Zappa
Lenfilm Studio,Zaveshchaniye professora Douelya
Cinema City & Films Co.,Zui jia pai dang 3: Nu huang mi ling
K.S. Film,Zwei Nasen tanken Super
Kaktus Producciones CinematogrÃ¡ficas,Â¿QuÃ© he hecho yo para merecer esto?
R.T.Z. Production,Ã€ mort l'arbitre!
SEDPA,Ã€ nous les garÃ§ons
Filmhuset AS,Ã…ke och hans vÃ¤rld
Guadalupe Productions,1918
Atlantic,The Adventures of Mark Twain
The Geffen Company,After Hours
Columbia Pictures,Agnes of God
Delphi IV Productions,Alamo Bay
Empire Pictures,The Alchemist
International Rainbow,Always
Atlas International Film,Curral de Mulheres
BAS Film Productions Inc.,American Commandos
Double Helix Films,American Drive-In
WW Production,American Flyers
Cannon Group,American Ninja
Sara Films,L'amour braque
Gaumont International,L'amour en douce
Channel Four Films,The Angelic Conversation
Kairos-Film,Der Angriff der Gegenwart auf die Ã¼brige Zeit
Balcor Film Investors,The Annihilators
Moving Picture Company (MPC),The Assam Garden
Orchidea Film (II),L'assassino Ã¨ ancora tra noi
Golan-Globus Productions,The Assisi Underground
Obelisk Motion Pictures,Attack of the Beast Creatures
Avenging Venture,Avenging Angel
United Artists,The Aviator
Silver Screen Partners II,Baby: Secret of the Lost Legend
Universal Pictures,Back to the Future
Lantana,Bad Medicine
Aldo Lado,Rouge baiser
Aries CinematogrÃ¡fica Argentina,Barbarian Queen
Entertainment Events,Basic Training
Orion Pictures,Beer
Embrafilme,O Beijo No Asfalto
Italian International Film,The Berlin Affair
A&M Films,Better Off Dead...
G.T. Productions,The Big Bet
Incorporated Television Company (ITC),Billy the Kid and the Green Baize Vampire
Admiral,Bittere Ernte
Verenigde Nederlandsche Filmcompagnie (VNF),Het bittere kruid
HBO Premiere Films,Blackout
Medusa Distribuzione,Blastfighter
Window III Productions,Bliss
Gilmark Pictures,Bloody Wednesday
Filmline International,The Blue Man
Soureh Cinema Foundation,Baykot
Embassy International Pictures,Brazil
Universal Pictures,The Breakfast Club
CTV Television Network,Breaking All the Rules
Universal Pictures,Brewster's Millions
Colgems Productions Ltd.,The Bride
Altsien Rock Werchter-Torhout,Brussels by Night
Film and Video Workshop,Buddies
Hoyts Distribution,Burke & Wills
Cinetel Films,El caballero del dragÃ³n
Columbia Films,La cage aux folles III: 'Elles' se marient
Mirage Films,Came a Hot Friday
Titanus,Il camorrista
Fulvia Film,Cane arrabbiato
Double Helix Films,Car Trouble
Nelvana,The Care Bears Movie
Dino De Laurentiis Company,Cat's Eye
Crown International Pictures,Cavegirl
ELF,Cease Fire
Entertainment Events,Certain Fury
Cine Cine Productions Inc.,A Certain Sacrifice
Embassy Pictures,A Chorus Line
Film Ventures International (FVI),City Limits
MPR,Club Life
Paramount Pictures,Clue
Cinema Enterprises,The Coca-Cola Kid
Twentieth Century Fox,Cocoon
Metro-Goldwyn-Mayer (MGM),Code Name: Emerald
Orion Pictures,Code of Silence
Amblin Entertainment,The Color Purple
Faso Film,Colpi di luce
SLM Production Group,Commando
Blackhawk Productions,Compromising Positions
Eagle Films,Crystal Heart
I.R.M.I. Films,Criminally Insane 2
Kings Road Entertainment,Creator
Trans World Entertainment (TWE),Creature
Favorite Films,Crime Wave
Columbia Pictures,Crimewave
Paramount Pictures,D.A.R.Y.L.
Cinema City & Films Co.,Da gung wong dai
Kadokawa Haruki Jimusho,Kamui no ken
Goldcrest Films International,Dance with a Stranger
Kanun parvaresh fekri,Davandeh
United Film Distribution Company (UFDC),Day of the Dead
Tucker Production Company,Death Warmed Up
Cannon Group,Death Wish 3
The Rank Organisation,Defence of the Realm
Desert Hearts Productions,Desert Hearts
Dania Cinematografica,Desiderando Giulia
Orion Pictures,Desperately Seeking Susan
Cannon Group,Detective School Dropouts
Concorde Pictures,The Devastator
Shaw Brothers,Pi li shi jie
Brooksfilms,The Doctor and the Devils
Filmcorp Productions,Doin' Time
Shotwed Film,Don't Mess with My Sister!
Spectacular Trading International,Don't Open Till Christmas
Clasa Films Mundiales,DoÃ±a Herlinda y su hijo
PfH Ltd.,Dreamchild
SamouraÃ¯ Films,Dressage
Dixon's Films,DÃ©jÃ  Vu
JLG Films,DÃ©tective
Oliane Productions,L'effrontÃ©e
MAFILM DialÃ³g FilmstÃºdiÃ³,EgÃ©szsÃ©ges erotika
K.S. Film,Die Einsteiger
CBS Entertainment Production,Eleni
G.I.E.,Elle a passÃ© tant d'heures sous les sunlights...
Christel Films,The Emerald Forest
Filmirage,Endgame - Bronx lotta finale
Twentieth Century Fox,Enemy Mine
Fulvia Film,Fuga dal Bronx
Rosafrey,Esperando la carroza
Mars Productions,Evils of the Night
Paramount Pictures,Explorers
Blau Films,Extramuros
Orion Pictures,F/X
Southern Films International,Fair Game
Svenska Ord,Falsk som vatten
Warner Bros.,Fandango
Columbia Pictures,Fast Forward
R.P.A. Cinematografica,Femmine in fuga
Metro-Goldwyn-Mayer (MGM),Fever Pitch
Riverside Pictures,Flesh+Blood
Universal Pictures,Fletch
Cannon Group,Fool for Love
Solaris Film,Der Formel Eins Film
Globe Films,Fotografando Patrizia
Dean Film,Scemo di guerra
New World Pictures,Fraternity Vacation
Deutsche Film (DEFA),Die Frau und der Fremde
Georgetown Productions Inc.,Friday the 13th: A New Beginning
Columbia Pictures,Fright Night
Paragon Films Ltd.,Fuk sing go jiu
Magic Shadows,Future-Kill
Raam Raj Kalamandir's,Geraftaar
Koo Koo Banana,Get Out of My Room
Empire Pictures,Ghoulies
Manson International,The Gig
New World Pictures,Girls Just Want to Have Fun
Warner Bros.,The Goonies
Channel Four Films,Heavenly Pursuits
Universal Pictures,Gotcha!
New World Pictures,Grunt! The Wrestling Movie
Metro-Goldwyn-Mayer (MGM),Gymkata
Beatrice Film,Hanna D. - La ragazza del Vondel Park
Patel/Shah Film Company,Hard Rock Zombies
Sara Films,Harem
Cinema City & Films Co.,Hoh bit yau ngo?
HBO Pictures,Heaven Help Us
Engelberg-Sumner-Cheikes,The Heavenly Kid
Cinend,Hell Squad
Arkoff International,Hellhole
Cannon Italia Srl,Le avventure dell'incredibile Ercole
VTC,The Hills Have Eyes Part II
Cine Saison,Himatsuri
Historias Cinematograficas Cinemania,La historia oficial
Rick Sloane Productions,Hobgoblins
Holcroft Films,The Holcroft Covenant
Cerito Films,Hold-Up
Shaw Brothers,Jian dong xiao xiong
RaÃ­z ProduÃ§Ãµes CinematogrÃ¡ficas,A Hora da Estrela
Cannon Films,Hot Chili
Spectrum Cinema Productions,Hot Moves
Cannon Films,Hot Resort
Crown International Pictures,Hot Target
Hemdale,Howling II: Stirba - Werewolf Bitch
La Cecilia,Hurlevent
Troma Entertainment,Igor and the Lunatics
Emotion Pictures,Im Himmel ist die HÃ¶lle los
Racing Pictures,Inferno in diretta
Recorded Picture Company (RPC),Insignificance
Universal Pictures,Into the Night
Cannon Films,Invasion U.S.A.
A.S.L.K. (Algemene Spaar en Lijfrente Kas),Istanbul
Columbia Pictures,Jagged Edge
The Rejoycing Company,James Joyce's Women
Hungarofilm,Lily in Love
SLM Production Group,The Jewel of the Nile
Bo Ho Film Company Ltd.,Geung see sin sang
Alexandra Film,Joan Lui - Ma un giorno nel paese arrivo io di lunedÃ¬
Centropolis Film Productions,Joey
Films RSL,Joshua Then and Now
Walt Disney Pictures,The Journey of Natty Gann
Columbia Pictures,Just One of the Guys
M Square,Key Exchange
Futura Film,Killing Cars
Barclays Mercantile Industrial Finance,King David
Cannon Group,King Solomon's Mines
HB Filmes,Kiss of the Spider Woman
Ascot Film,Kommando Leopard
Obel Film,Den kroniske uskyld
Crystalite Productions,Krush Groove
Twentieth Century Fox,Ladyhawke
Delphi III Productions,The Last Dragon
Las Flores Company,Latino
Legend Production Company,Legend
Gomillion Studios,The Legend of Billie Jean
Golan-Globus Productions,Harimu Ogen
Channel Four Films,Letter to Brezhnev
Golan-Globus Productions,Lifeforce
CBS Theatrical Films,The Lightship
Estudios Churubusco Azteca S.A.,Little Treasure
Crazy Wheels Fillms,Loose Screws
Harwood,The Lost Empire
The Geffen Company,Lost in America
Directors Company,Rabu hoteru
Fox Run Productions Inc.,Lust in the Dust
Filmauro,Maccheroni
Romax Productions,The Malibu Bikini Shop
Andy Sidaris Company,Malibu Express
Twentieth Century Fox,The Man with One Red Shoe
Golden Films Internacional S.A.,La mansiÃ³n de los muertos vivientes
Dino De Laurentiis Company,Marie
Universal Pictures,Mask
Master Film Production,Mask of Murder
Doral Film,Nudo e selvaggio
Cannon Group,Mata Hari
Aurora,Maxie
David Foster Productions,The Mean Season
P.P. Film Polski,Medium
Faso Film,La messa Ã¨ finita
Trans-Cinema TV,Miami Supercops
San Francisco Film,Miranda
Channel Four Films,Mirch Masala
Twentieth Century Fox,Mischief
Zoetrope Studios,Mishima: A Life in Four Chapters
The Cannon Group,Missing in Action 2: The Beginning
Svensk Filmindustri (SF),Mitt liv som hund
Sara Films,Mixed Blood
Thorn EMI Screen Entertainment,Morons from Outer Space
Asher-Grodin Productions,Movers & Shakers
SLM Production Group,Moving Violations
Preston-Laing Productions,Mr. Wrong
Columbia Pictures,Murphy's Romance
Borderline,My American Cousin
The Mount Company (II),My Man Adam
Silver Screen Partners II,My Science Project
Olga Film,MÃ¤nner
Warner Bros.,National Lampoon's European Vacation
Norsk Film,Nattseilere
Orfilm,Le neveu de Beethoven
Columbia Pictures,The New Kids
Nickel Mountain Productions,Nickel Mountain
New Line Cinema,A Nightmare on Elm Street Part 2: Freddy's Revenge
Kadokawa Haruki Jimusho,Iga ninpÃ´chÃ´
Yu Feng Film Company,Shu shi shen chuan
Channel Four Films,No Surrender
Ottokar Runze Filmproduktion,Novembermond
Metro-Goldwyn-Mayer (MGM),O.C. and Stiggs
MAFILM ObjektÃ­v FilmstÃºdiÃ³,Oberst Redl
Mosfilm,Odinochnoe plavanie
Swanie Productions,On ne meurt que deux fois
Night Life Inc.,Once Bitten
Walt Disney Pictures,One Magic Christmas
Reeltime Corporation,The Oracle
Arion Productions,Oriana
Itami Productions,OsÃ´shiki
Centar Film,Otac na sluzbenom putu
ConsejerÃ­a de Cultura del Gobierno Vasco,Otra vuelta de tuerca
Mirage Enterprises,Out of Africa
Fred Weintraub Productions,Out of Control
Madeleine Films,P.R.O.F.S.
Nathaniel Productions,Pacific Inferno
Sathya Jyothi Films,Pagal Nilavu
The Malpaso Company,Pale Rider
France 3 CinÃ©ma,Parking
Adel Productions,Parole de flic
Les Productions La FÃªte Inc.,The Peanut Butter Solution
Warner Bros.,Pee-wee's Big Adventure
Columbia Pictures,Perfect
Filmirage,Il piacere
Alexandra Film,Pizza Connection
Pressman Productions,Plenty
Gaumont,Police
Pirromount Pictures,A Polish Vampire in Burbank
Melvin Simon Productions,Porky's Revenge
MK2 Productions,Poulet au vinaigre
Pray Films,Pray for Death
HandMade Films,A Private Function
Delphi III Productions,Private Resort
ABC Motion Pictures,Prizzi's Honor
Frans Rasker Film,De prooi
Eurasia Investments,The Protector
Korean Film,Pulgasari
Jack Rollins & Charles H. Joffe Productions,The Purple Rose of Cairo
Gaumont,PÃ©ril en la demeure
Golden Harvest Company,Qi yuan
Peace Film Production Co.,Ching fung dik sau
Compagnie CinÃ©matographique de France,Le 4Ã¨me pouvoir
Cinepro,The Quiet Earth
Estudios Churubusco Azteca S.A.,Rambo: First Blood Part II
Greenwich Film Productions,Ran
Cannon Pictures,Rappin'
Empire Pictures,Re-Animator
Delphi III Productions,Real Genius
J&M Entertainment,Rebel
Dino De Laurentiis Company,Red Sonja
The Movie Outfit,Reel Horror
Dick Clark Productions,Remo Williams: The Adventure Begins
T. Films,Rendez-vous
EMI Films,Restless Natives
Hemdale,The Return of the Living Dead
BMI (No. 9) Ltd.,Return to Oz
